iter	Passed	Remaining
413	3487	4936
414	3495	4926
415	3503	4918
416	3513	4911
417	3522	4904
418	3531	4896
419	3540	4888
420	3549	4881
421	3558	4873
422	3565	4863
423	3574	4855
424	3582	4847
425	3589	4836
426	3597	4827
427	3605	4818
428	3614	4810
429	3621	4801
430	3629	4791
431	3637	4782
432	3646	4774
433	3654	4765
434	3662	4757
435	3670	4748
436	3679	4741
437	3687	4731
438	3693	4720
439	3700	4710
440	3707	4699
441	3715	4690
442	3723	4682
443	3732	4673
444	3741	4665
445	3750	4658
446	3758	4649
447	3765	4640
448	3774	4631
449	3782	4622
450	3790	4614
451	3798	4605
452	3806	4596
453	3814	4587
454	3823	4579
455	3830	4570
456	3839	4562
457	3847	4553
458	3857	4546
459	3865	4537
460	3874	4530
461	3882	4521
462	3891	4512
463	3898	4503
464	3906	4495
465	3915	4486
466	3923	4477
467	3931	4469
468	3939	4460
469	3948	4452
470	3957	4445
471	3965	4436
472	3974	4428
473	3983	4419
474	3992	4413
475	4000	4404
476	4008	4395
477	4017	4386
478	4024	4377
479	4033	4369
480	4041	4360
481	4050	4352
482	4058	4344
483	4067	4336
484	4075	4327
485	4084	4319
486	4092	4311
487	4101	4302
488	4109	4294
489	4118	4286
490	4126	4277
491	4135	4269
492	4143	4261
493	4152	4253
494	4161	4245
495	4169	4236
496	4187	4238
497	4205	4239
498	4223	4240
499	4240	4240
500	4260	4243
501	4278	4244
502	4291	4240
503	4300	4232
504	4308	4223
505	4317	4214
506	4326	4206
507	4334	4198
508	4342	4189
509	4351	4181
510	4359	4172
511	4367	4163
512	4376	4154
513	4384	4145
514	4392	4136
515	4402	4129
516	4411	4121
517	4419	4112
518	4427	4103
519	4436	4094
520	4443	4085
521	4451	4076
522	4460	4067
523	4468	4059
524	4476	4050
525	4485	4042
526	4494	4033
527	4502	4024
528	4511	4016
529	4520	4008
530	4528	3999
531	4535	3990
532	4544	3981
533	4552	3972
534	4560	3964
535	4568	3955
536	4577	3946
537	4586	3938
538	4595	3930
539	4602	3920
540	4611	3912
541	4619	3903
542	4628	3895
543	4636	3886
544	4645	3878
545	4653	3869
546	4662	3861
547	4670	3852
548	4678	3843
549	4687	3835
550	4696	3827
551	4705	3818
552	4712	3808
553	4720	3800
554	4729	3792
555	4737	3783
556	4745	3774
557	4754	3766
558	4762	3757
559	4771	3749
560	4780	3740
561	4789	3732
562	4797	3723
563	4805	3714
564	4814	3706
565	4822	3697
566	4831	3689
567	4839	3681
568	4848	3672
569	4856	3664
570	4865	3655
571	4873	3646
572	4882	3638
573	4890	3629
574	4898	3620
575	4906	3611
576	4914	3602
577	4921	3593
578	4930	3584
579	4937	3575
580	4946	3567
581	4954	3558
582	4961	3548
583	4968	3539
584	4976	3530
585	4984	3521
586	4991	3512
587	4999	3502
588	5005	3492
589	5012	3482
590	5019	3474
591	5029	3466
592	5037	3457
593	5045	3448
594	5053	3440
595	5062	3431
596	5070	3422
597	5078	3413
598	5086	3405
599	5095	3397
600	5103	3388
601	5112	3379
602	5121	3371
603	5129	3363
604	5138	3354
605	5146	3345
606	5154	3337
607	5162	3328
608	5170	3319
609	5179	3311
610	5188	3303
611	5196	3294
612	5205	3286
613	5213	3277
614	5221	3268
615	5229	3260
616	5238	3251
617	5246	3242
618	5254	3234
619	5262	3225
620	5271	3217
621	5279	3208
622	5288	3199
623	5296	3191
624	5304	3182
625	5312	3173
626	5322	3166
627	5331	3157
628	5339	3149
629	5348	3141
630	5356	3132
631	5364	3123
632	5373	3115
633	5381	3106
634	5389	3098
635	5398	3089
636	5406	3080
637	5414	3072
638	5423	3063
639	5432	3055
640	5440	3046
641	5448	3038
642	5456	3029
643	5465	3021
644	5483	3018
645	5501	3014
646	5519	3011
647	5537	3007
648	5555	3004
649	5572	3000
650	5588	2996
651	5599	2988
652	5607	2979
653	5616	2971
654	5625	2962
655	5633	2953
656	5641	2945
657	5649	2936
658	5657	2927
659	5666	2919
660	5675	2910
661	5683	2901
662	5691	2893
663	5700	2884
664	5708	2875
665	5717	2867
666	5725	2858
667	5735	2850
668	5743	2841
669	5751	2833
670	5760	2824
671	5769	2816
672	5778	2807
673	5786	2798
674	5794	2789
675	5802	2781
676	5811	2772
677	5819	2763
678	5827	2755
679	5836	2746
680	5844	2737
681	5852	2728
682	5860	2720
683	5868	2711
684	5878	2703
685	5887	2694
686	5895	2685
687	5903	2677
688	5912	2668
689	5920	2659
690	5928	2651
691	5936	2642
692	5944	2633
693	5952	2624
694	5961	2616
695	5969	2607
696	5978	2598
697	5986	2590
