iter	RMSE
179	78.33258798
180	78.22211544
181	78.15080339
182	77.89155798
183	77.39317156
184	77.14162696
185	77.07321372
186	77.00734254
187	76.2627521
188	75.96104684
189	75.83322912
190	75.76959153
191	75.51461613
192	75.43552437
193	75.37457614
194	75.31589925
195	75.25938761
196	75.16502021
197	75.11049447
198	74.5949569
199	74.41679199
200	74.19435042
201	74.14278382
202	73.65919468
203	73.3784313
204	72.88871849
205	72.64562648
206	72.54830987
207	72.49753527
208	72.35410519
209	72.08495531
210	71.8595296
211	71.69682385
212	71.63304814
213	71.57383598
214	71.52016612
215	71.50813756
216	71.06095377
217	70.85524127
218	70.64300336
219	70.58696968
220	70.37549107
221	70.27688777
222	70.18519783
223	70.13729416
224	70.0434925
225	69.49129214
226	69.44633676
227	69.27083486
228	69.18190189
229	69.05340915
230	68.75726345
231	68.58788647
232	68.48326482
233	68.30551805
234	68.06437702
235	67.69293136
236	67.46586382
237	67.26208665
238	67.13927314
239	67.02510144
240	66.68160922
241	66.57154896
242	66.36410451
243	66.11448187
244	65.93190424
245	65.60243494
246	65.46700223
247	65.21163303
248	64.99812881
249	64.76637567
250	64.65931485
251	64.46149085
252	64.13166429
253	63.99316292
254	63.85108611
255	63.64384037
256	63.50719046
257	63.31328289
258	63.29196563
259	63.28699971
260	63.16682785
261	63.03210298
262	63.02848866
263	62.79904875
264	62.74702972
265	62.71445141
266	62.69508381
267	62.44910604
268	62.38230012
269	62.17638927
270	61.95069183
271	61.65175526
272	61.64149524
273	61.46543875
274	61.25300924
275	61.13323313
276	61.12434596
277	61.04763709
278	60.85379526
279	60.82436205
280	60.72807631
281	60.44904366
282	60.36753059
283	60.18058881
284	60.15292909
285	60.06799624
286	60.05576872
287	59.92655754
288	59.78916761
289	59.72279265
290	59.7170157
291	59.56459352
292	59.56165449
293	59.38504131
294	59.21149532
295	59.17637266
296	59.06950065
297	58.96089566
298	58.95818612
299	58.85609696
300	58.72603158
301	58.65549953
302	58.59701324
303	58.53687769
304	58.46149283
305	58.45358368
306	58.45113595
307	58.34804605
308	58.32485106
309	58.26930873
310	58.20091048
311	58.19602134
312	58.13080389
313	58.08621454
314	58.0802312
315	58.01260366
316	57.89855399
317	57.74044659
318	57.7190613
319	57.68411422
320	57.52560311
321	57.36456461
322	57.31440819
323	57.23415149
324	57.17999273
325	57.08674262
326	56.84583084
327	56.75667195
328	56.69240601
329	56.6227821
330	56.60398335
331	56.54218644
332	56.50793794
333	56.39275751
334	56.27932889
335	56.14326672
336	56.13299966
337	56.11832093
338	55.92498914
339	55.83798703
340	55.77299651
341	55.71805838
342	55.67121412
343	55.58037464
344	55.54444494
345	55.46985824
346	55.32063593
347	55.3030821
348	55.11098665
349	55.03053713
350	55.02586343
351	54.96969531
352	54.89392509
353	54.87561018
354	54.72414285
355	54.68549757
356	54.61072228
357	54.5556801
358	54.435592
359	54.25356615
360	54.20050782
361	54.14996122
362	53.95313403
363	53.90709886
364	53.83493296
365	53.81607684
366	53.70131697
367	53.66741926
368	53.5599501
369	53.4862251
370	53.43263593
371	53.42649929
372	53.42401338
373	53.35361232
374	53.28301035
375	53.22820956
376	53.13329979
377	53.12138234
378	53.05371573
379	52.95013859
380	52.83288894
381	52.77951054
382	52.7372658
383	52.62848013
384	52.56214582
385	52.48620523
386	52.4169289
387	52.34911255
388	52.3336291
389	52.0853987
390	51.99032189
391	51.88461113
392	51.77653165
393	51.73677987
394	51.67168711
395	51.60189756
396	51.59481178
397	51.54902138
398	51.49124453
399	51.45246046
400	51.44847244
401	51.34703971
402	51.28438073
403	51.221235
404	51.21827832
405	51.17109726
406	51.11487653
407	51.0694864
408	50.97617172
409	50.78058606
410	50.55580913
411	50.4275599
412	50.42468095
413	50.38718069
414	50.32840387
415	50.27911972
416	50.23033009
417	50.05425695
418	49.85011305
419	49.83435894
420	49.78155626
421	49.73251057
422	49.62604882
423	49.57794206
424	49.48732039
425	49.42234662
426	49.37657849
427	49.30106776
428	49.2476628
429	49.17475354
430	49.11747122
431	49.11638757
432	49.02836571
433	48.96366132
434	48.9197864
435	48.80158842
436	48.79036277
437	48.70696059
438	48.59990815
439	48.55035385
440	48.49247012
441	48.43677313
442	48.38316712
443	48.33156166
444	48.28187121
445	48.23401483
446	48.22137723
447	48.20914189
448	48.16320672
449	48.15143613
450	48.14004045
451	48.09593285
452	47.9814064
453	47.91757191
454	47.8577157
455	47.74626207
456	47.69431444
457	47.64457408
458	47.59694272
459	47.54438351
460	47.49677006
461	47.45160259
462	47.25525085
463	47.20563482
464	47.1579287
465	47.03418137
466	46.98888576
467	46.94533082
468	46.80742303
469	46.74031313
470	46.62676254
471	46.58950432
472	46.54798367
473	46.49015121
474	46.45516865
475	46.39095197
476	46.35174083
477	46.29124875
478	46.25328627
479	46.22130588
480	46.16422819
481	46.1081161
482	46.07226226
483	46.01609857
484	45.98589471
485	45.92470797
486	45.87065917
487	45.77902523
488	45.70106314
489	45.4926695
490	45.3268998
491	45.31727253
492	45.28324576
493	45.22895843
494	45.19597856
495	45.12334231
496	44.95917052
497	44.90732134
498	44.89814224
499	44.88960951
500	44.76488208
501	44.73549849
502	44.70426094
503	44.67408841
504	44.622054
505	44.52821062
506	44.5249602
507	44.49180289
508	44.48228575
509	44.42681184
510	44.36635765
511	44.30751126
512	44.26486398
513	44.20540652
514	44.18294949
515	44.13083792
516	44.10371152
517	44.07311141
518	44.05172905
519	44.02348646
520	43.99647495
521	43.96752175
522	43.9420006
523	43.90446666
524	43.87531116
525	43.84054942
526	43.77666415
527	43.76517948
528	43.73560939
529	43.6398596
530	43.61066501
531	43.56419694
532	43.50924979
533	43.39482812
534	43.34319619
535	43.30859008
536	43.25467084
537	43.22918695
538	43.19724088
539	43.18868953
540	43.17708178
541	43.11162087
542	43.10806273
543	43.04760548
544	43.01548754
545	42.98249884
546	42.95502108
547	42.87404238
548	42.80064106
549	42.79853698
550	42.76499732
551	42.67480998
552	42.65120227
553	42.63518048
554	42.61033375
555	42.60331457
556	42.55624807
557	42.53054151
558	42.49921007
559	42.4751721
560	42.42793695
561	42.37871615
562	42.30295123
563	42.28028412
564	42.25251457
565	42.17093455
566	42.14534571
567	42.12374301
568	42.1211954
569	42.10313472
570	42.07847025
571	42.04974335
572	42.00853897
573	41.98131917
574	41.94568284
575	41.91257169
576	41.88428005
577	41.74802655
578	41.73126636
579	41.71345309
580	41.58528057
581	41.54833573
582	41.53280958
583	41.50948558
584	41.4782453
585	41.45503413
586	41.34240979
587	41.32044525
588	41.30195904
589	41.26460732
590	41.19051635
591	41.12996925
592	41.09814766
593	41.08994598
594	41.0608018
595	41.02275119
596	40.99877683
597	40.87671739
598	40.84507926
599	40.80235268
600	40.76632165
601	40.71632615
602	40.69926937
603	40.65812354
604	40.65209425
605	40.62288898
606	40.59037728
607	40.52905255
608	40.49036856
609	40.4524249
610	40.45180133
611	40.42776822
612	40.40357645
613	40.38405791
614	40.34563129
615	40.31132295
616	40.28961832
617	40.26882066
618	40.23435941
619	40.14520838
620	40.12463914
621	40.08834325
622	40.06422827
623	40.04063418
624	40.0052587
625	39.97194823
626	39.95901808
627	39.94074134
628	39.91980629
629	39.89993225
630	39.88368376
631	39.85687945
632	39.83387524
633	39.80402042
634	39.76503935
635	39.70834823
636	39.63656302
637	39.61455652
638	39.5894204
639	39.55824295
640	39.55044633
641	39.52517991
642	39.48833048
643	39.42727863
644	39.31467876
645	39.29826493
646	39.25039418
647	39.21003639
648	39.20261511
649	39.18423564
650	39.12938017
651	39.10291229
652	39.07761696
653	38.971355
654	38.95237836
655	38.9176692
656	38.90435708
657	38.89727241
658	38.88301272
659	38.86204853
660	38.85526387
661	38.82665688
662	38.8137165
663	38.7715157
664	38.74383812
665	38.7373083
666	38.71096682
667	38.69031777
668	38.68399407
669	38.67787225
670	38.65104326
671	38.64931188
672	38.59774786
673	38.56795546
674	38.56387511
675	38.54366122
676	38.47471169
677	38.44916614
678	38.44273946
679	38.43653575
680	38.43592948
681	38.3981808
682	38.37484139
683	38.29384136
684	38.28089473
685	38.27986335
686	38.23849916
687	38.21524707
688	38.18735942
689	38.13489062
690	38.10375026
691	38.0822883
692	38.06982225
693	38.06414277
694	38.06355126
695	38.05805188
696	38.01985579
697	38.00348281
698	37.96694217
699	37.95377222
700	37.92460013
701	37.90935125
702	37.88566666
703	37.88043126
704	37.85261503
705	37.84237727
706	37.83955666
707	37.76268783
708	37.71479625
709	37.70132384
710	37.69167502
711	37.68233423
712	37.61549168
713	37.58786534
714	37.53379222
715	37.50758156
716	37.48779822
717	37.46177966
718	37.43620543
719	37.41148835
720	37.38759562
721	37.36449437
722	37.34215692
723	37.32055586
724	37.3152232
725	37.2943156
726	37.28913474
727	37.26889636
728	37.24931922
729	37.14727669
730	37.12829476
731	37.10993294
732	37.09216711
733	37.07497809
734	37.06993003
735	37.0450774
736	36.96513833
737	36.91646305
738	36.90012671
739	36.88432244
740	36.86903121
741	36.86409985
742	36.84929216
743	36.78006582
744	36.75763511
745	36.65601999
746	36.64194131
747	36.62831911
748	36.61513626
749	36.59332216
750	36.57399019
751	36.47408589
752	36.46929908
753	36.45674558
754	36.43576381
755	36.41021346
756	36.31634709
757	36.27098922
758	36.25056824
759	36.24596498
760	36.22759063
761	36.21153132
762	36.14356795
763	36.06517158
764	36.00394723
765	35.97873312
766	35.95577384
767	35.94732288
768	35.90020563
769	35.88286673
770	35.84680935
771	35.83501488
772	35.80922561
773	35.78359509
774	35.76860685
775	35.76036405
776	35.74913136
777	35.72705616
778	35.67704646
779	35.65732439
780	35.65524712
781	35.6309073
782	35.58891295
783	35.58101863
784	35.57842158
785	35.55760059
786	35.54702751
787	35.53708076
788	35.47870758
789	35.44678864
790	35.40828542
791	35.3774657
792	35.37001756
793	35.3454204
794	35.32775366
795	35.32005054
796	35.30826794
797	35.28919834
798	35.27333307
799	35.25799666
800	35.23504108
801	35.22505809
802	35.2208378
803	35.21346752
804	35.20397555
805	35.19083714
806	35.17484483
807	35.16373247
808	35.13461596
809	35.13401957
810	35.11977176
811	35.06232732
812	35.02549023
813	35.0069095
814	34.98968471
815	34.93393405
816	34.89349173
817	34.86651188
818	34.82150966
819	34.80359021
820	34.79195119
821	34.77863333
822	34.76959571
823	34.75342999
824	34.75284586
825	34.70181062
826	34.69193843
827	34.67493469
828	34.66243434
829	34.58980512
830	34.57634837
831	34.55186019
832	34.54616384
833	34.51102454
834	34.49642024
835	34.49190742
836	34.4888091
837	34.47340049
838	34.4615077
839	34.44477884
840	34.44420944
841	34.44235666
842	34.43995483
843	34.39914002
844	34.38416848
845	34.36204369
846	34.35188791
847	34.32712476
848	34.31968489
849	34.31636838
850	34.30990126
851	34.30612316
852	34.2790704
853	34.26264487
854	34.26088861
855	34.24338612
856	34.23380297
857	34.21970044
858	34.19829477
859	34.19773938
860	34.16472024
861	34.15594097
862	34.14624268
863	34.14191463
864	34.12804648
865	34.05751147
866	34.04896272
867	34.02116491
868	34.00986859
869	33.99649461
870	33.97799696
871	33.93258792
872	33.88728838
873	33.86869458
874	33.84404383
875	33.83140889
876	33.82385075
877	33.81494103
878	33.80639626
879	33.80467721
880	33.79332197
881	33.77018896
882	33.76581144
883	33.73637627
884	33.72820544
885	33.72036582
886	33.7119631
887	33.7044995
888	33.70071697
889	33.69956131
890	33.69190276
891	33.6876809
892	33.67440573
893	33.58486263
894	33.52132251
895	33.51290231
896	33.49556795
897	33.46907796
898	33.41858534
899	33.41494894
900	33.39998285
901	33.39829362
902	33.38587361
903	33.35349456
904	33.34000787
905	33.28680916
906	33.28484802
907	33.26941435
908	33.26854083
909	33.26042159
910	33.21204079
911	33.20765039
912	33.19303774
913	33.14479027
914	33.12482491
915	33.12430225
916	33.10196643
917	33.0894312
918	33.07725654
919	33.05343196
920	32.99368928
921	32.97182998
922	32.9425575
923	32.93098233
924	32.91175019
925	32.89272704
926	32.88616753
927	32.86478902
928	32.85750073
929	32.85695347
930	32.81148884
931	32.7916228
932	32.75625423
933	32.74269168
934	32.73462595
935	32.73407057
936	32.73188651
937	32.70884201
938	32.70825163
939	32.70595499
940	32.70213968
941	32.69116653
942	32.68979355
943	32.67366731
944	32.67004191
945	32.64087536
946	32.63570261
947	32.62565232
948	32.62204886
949	32.60703005
950	32.5632876
951	32.55838622
952	32.53394692
953	32.51382868
954	32.51276347
955	32.49720915
956	32.46605452
957	32.45858067
958	32.45259188
959	32.44790145
960	32.43943226
961	32.38256006
962	32.37514067
963	32.35622344
964	32.35285574
965	32.34428375
966	32.3018431
967	32.27406172
968	32.23682309
969	32.23007753
970	32.1912206
971	32.18791414
972	32.18080813
973	32.17044762
974	32.16327476
975	32.15644639
976	32.10858064
977	32.00824046
978	31.9693114
979	31.94891506
980	31.92296825
981	31.91655679
982	31.91602328
983	31.91271499
984	31.90610343
985	31.89563016
986	31.89493782
987	31.88176949
988	31.86794609
989	31.86466265
990	31.8614813
991	31.83226731
992	31.78068558
993	31.7573707
994	31.75570452
995	31.70598092
996	31.6993556
997	31.68781576
998	31.63246344
999	31.59661807
